ID,Event,Sport,Market,Odds,Stake,EV,Sportsbook,Kelly_Percent,Edge_Percent,Status,Profit,Placed_At,Resolved_At
21,Kansas City Chiefs @ Dallas Cowboys,Football,Player Last Touchdown Scorer,101.0,12.99,44.6%,Hard Rock (FL/IL/OH),0.11%,0.4%,pending,0.0,2025-11-27 10:33:57,
22,Indiana @ Purdue,Football,Player First Touchdown Scorer,61.0,12.93,40.4%,Hard Rock,0.17%,0.7%,pending,0.0,2025-11-27 10:33:57,
23,Green Bay Packers @ Detroit Lions,Football,Player Receiving Yards,4.6,59.95,33.6%,Caesars,2.33%,7.3%,pending,0.0,2025-11-27 10:33:57,
24,Jacksonville Jaguars @ Tennessee Titans,Football,Player Touchdowns,31.0,12.56,29.2%,Hard Rock (FL/IL/OH),0.24%,0.9%,pending,0.0,2025-11-27 10:33:57,
25,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,5.0,41.98,26.9%,Hard Rock (FL/IL/OH),1.68%,5.4%,pending,0.0,2025-11-27 10:33:57,
18,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,4.0,52.59,23.2%,Hard Rock (FL/IL/OH),1.93%,5.8%,pending,0.0,2025-11-27 08:12:29,
19,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,6.0,30.01,22.5%,Hard Rock (FL/IL/OH),1.13%,3.8%,pending,0.0,2025-11-27 08:12:29,
20,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,4.75,36.98,21.1%,Hard Rock (FL/IL/OH),1.40%,4.4%,pending,0.0,2025-11-27 08:12:29,
16,Kansas City Chiefs @ Dallas Cowboys,Football,Player Last Touchdown Scorer,101.0,13.73,45.4%,Hard Rock (FL/IL/OH),0.11%,0.4%,pending,0.0,2025-11-27 08:12:28,
17,Indiana @ Purdue,Football,Player First Touchdown Scorer,61.0,13.66,44.2%,Hard Rock,0.18%,0.7%,pending,0.0,2025-11-27 08:12:28,
11,Kansas City Chiefs @ Dallas Cowboys,Football,Player Last Touchdown Scorer,101.0,14.37,45.4%,Hard Rock (FL/IL/OH),0.11%,0.4%,pending,0.0,2025-11-27 08:11:15,
12,Indiana @ Purdue,Football,Player First Touchdown Scorer,61.0,14.3,44.2%,Hard Rock,0.18%,0.7%,pending,0.0,2025-11-27 08:11:15,
13,Indiana @ Purdue,Football,Player First Touchdown Scorer,61.0,14.23,44.2%,Hard Rock (FL/IL/OH),0.18%,0.7%,pending,0.0,2025-11-27 08:11:15,
14,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,4.0,54.79,23.2%,Hard Rock (FL/IL/OH),1.93%,5.8%,pending,0.0,2025-11-27 08:11:15,
15,Minnesota Vikings @ Seattle Seahawks,Football,Player 1st Quarter Receiving Yards,6.0,31.26,22.5%,Hard Rock (FL/IL/OH),1.13%,3.8%,pending,0.0,2025-11-27 08:11:15,
6,Green Bay Packers @ Detroit Lions,Football,Player Rushing Yards,11.0,22.78,30.4%,Hard Rock (FL/IL/OH),0.76%,2.8%,pending,0.0,2025-11-26 21:59:56,
7,New Orleans Saints @ Miami Dolphins,Football,Player Last Touchdown Scorer,76.0,14.89,28.9%,Hard Rock (FL/IL/OH),0.10%,0.4%,pending,0.0,2025-11-26 21:59:56,
8,Kansas City Chiefs @ Dallas Cowboys,Football,Player Rushing Yards,8.0,25.4,24.0%,Hard Rock (FL/IL/OH),0.86%,3.0%,pending,0.0,2025-11-26 21:59:56,
9,Buffalo Bills @ Pittsburgh Steelers,Football,Player Touchdowns,8.5,19.12,19.5%,BetRivers,0.65%,2.3%,pending,0.0,2025-11-26 21:59:56,
10,New York Giants @ New England Patriots,Football,Player Receiving Yards,4.25,43.54,19.4%,Caesars,1.49%,4.6%,pending,0.0,2025-11-26 21:59:56,
1,Kansas City Chiefs @ Dallas Cowboys,Football,Player First Touchdown Scorer,101.0,15.0,22.9%,BetMGM,0.06%,0.2%,pending,0.0,2025-11-26 16:02:49,
2,New York Giants @ New England Patriots,Football,Player 1st Quarter Rushing Yards,5.25,39.1,22.3%,Hard Rock (FL/IL/OH),1.31%,4.2%,pending,0.0,2025-11-26 16:02:49,
3,New York Giants @ New England Patriots,Football,Player 1st Quarter Rushing Yards,3.75,58.68,21.9%,Hard Rock (FL/IL/OH),1.99%,5.8%,pending,0.0,2025-11-26 16:02:49,
4,New York Giants @ New England Patriots,Football,Player 1st Quarter Rushing Yards,2.7,79.14,18.6%,Hard Rock (FL/IL/OH),2.74%,6.9%,pending,0.0,2025-11-26 16:02:49,
5,Kansas City Chiefs @ Dallas Cowboys,Football,Player 1st Quarter Receiving Yards,5.25,30.76,18.6%,Hard Rock (FL/IL/OH),1.10%,3.5%,pending,0.0,2025-11-26 16:02:49,
