id,event,sport,odds,stake,potential_win,ev,status,placed_at,resolved_at,result,profit,sportsbook
1,NFL,"Fr., 28. Nov. at 02:20",1.0,60.7,60.7,0.1427999999999999,pending,2025-11-25 15:12:14,,,0.0,
2,NFL,"Fr., 28. Nov. at 21:00",1.0,58.9,58.9,0.1356,pending,2025-11-25 15:12:14,,,0.0,
3,NFL,"Do., 27. Nov. at 22:30",1.0,53.825,53.825,0.1153,pending,2025-11-25 15:12:14,,,0.0,
4,NFL,"Fr., 28. Nov. at 02:20",2.5,105.875,264.68750000000006,0.3235,pending,2025-11-25 19:57:10,,,0.0,
5,NFL,"Do., 27. Nov. at 22:30",2.5,103.5,258.75000000000006,0.314,pending,2025-11-25 19:57:10,,,0.0,
6,NFL,"Do., 27. Nov. at 22:30",1.9,63.925,121.4575,0.1557,pending,2025-11-25 19:57:10,,,0.0,
7,Bengals @ Ravens,NFL,2.85,46.25,131.8125,0.085,lost,2025-11-26 08:53:12,2025-11-26 08:53:18,loss,-46.25,
8,Packers @ Lions,NFL,1.87,35.5,66.385,0.042,lost,2025-11-26 08:53:12,2025-11-26 08:53:18,loss,-35.5,
9,Lakers @ Warriors,NBA,1.91,36.25,69.2375,0.045,lost,2025-11-26 08:53:12,2025-11-26 08:53:21,loss,-36.25,
10,NFL,"Fr., 28. Nov. at 02:20",2.5,164.45,411.125,0.5578,pending,2025-11-26 08:56:30,,,0.0,
11,NFL,Tomorrow at 22:30,2.5,104.8,262.0,0.3192,pending,2025-11-26 08:56:30,,,0.0,
12,NFL,Tomorrow at 22:30,2.5,161.3,403.25,0.3226,pending,2025-11-26 09:31:18,,,0.0,
13,NFL,"Fr., 28. Nov. at 02:20",2.5,118.0,295.0,0.2494,pending,2025-11-26 09:31:18,,,0.0,
14,NFL,"So., 30. Nov. at 22:25",2.5,112.91,282.275,0.249,pending,2025-11-26 09:31:18,,,0.0,
15,NFL,Tomorrow at 22:30,2.5,161.3,403.25,0.3226,pending,2025-11-26 09:41:02,,,0.0,10000.0
