teams,event,amount,odds,closing_odds,result,sport,Bookietracked,date
NBA,Phoenix Suns @ Portland Trail Blazers,10.0,0.0,0.0,Lost,Other,600,2025-11-18
NBA,Phoenix Suns @ Portland Trail Blazers,10.0,0.0,0.0,Won,Other,600,2025-11-18
NBA,Memphis Grizzlies @ San Antonio Spurs,10.0,0.0,0.0,Lost,Other,203,2025-11-18
NBA,Phoenix Suns @ Portland Trail Blazers,10.0,0.0,0.0,Won,Other,600,2025-11-18
NBA,Phoenix Suns @ Portland Trail Blazers,10.0,0.0,0.0,Lost,Other,600,2025-11-18
NBA,Memphis Grizzlies @ San Antonio Spurs,10.0,0.0,0.0,Won,Other,203,2025-11-18
NBA,Memphis Grizzlies @ San Antonio Spurs,10.0,0.0,0.0,Lost,Other,203,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,160,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Lost,Other,160,2025-11-18
NBA,Memphis Grizzlies @ San Antonio Spurs,10.0,0.0,0.0,Won,Other,203,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Lost,Other,160,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,160,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Lost,Other,+185,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Lost,Other,+185,2025-11-18
NBA,Utah Jazz @ Los Angeles Lakers,10.0,0.0,0.0,Lost,Other,+148 ($6),2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,+185,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,+185,2025-11-18
NBA,Utah Jazz @ Los Angeles Lakers,10.0,0.0,0.0,Won,Other,+148 ($6),2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,+185,2025-11-18
NBA,Boston Celtics @ Brooklyn Nets,10.0,0.0,0.0,Won,Other,+185,2025-11-18
NBA,Utah Jazz @ Los Angeles Lakers,10.0,0.0,0.0,Lost,Other,+148 ($6),2025-11-18
